"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Soviet Union","Belgium",4,NA,NA,1,NA,NA,"Gavril Kachalin","Albert Shesternyov","Raymond Goethals","Paul Van Himst","Anatoliy Byshovets · 14|Kakhi Asatiani · 57|Anatoliy Byshovets · 63|Vitaliy Khmelnytskyi · 76","Raoul Lambert · 86",95261,"Estadio Azteca, Mexico City","Ruedi Scheurer (Referee) · Henry Landauer (AR1) · Bob Davidson (AR2)",1970-06-06,"4–1","Ruedi Scheurer",NA,"Group stage","Mexico",1970
"Peru","Morocco",3,NA,NA,0,NA,NA,"Didi","Héctor Chumpitaz","Blagoje Vidinic","Driss Bamous","Teófilo Cubillas · 65|Roberto Challe · 67|Teófilo Cubillas · 75",NA,13537,"Nou Camp - Estadio Leï¿½n, Leon","Tofik Bakhramov (Referee) · Yoshiyuki Maruyama (AR1) · Antonio Sbardella (AR2)",1970-06-06,"3–0","Tofik Bakhramov",NA,"Group stage","Mexico",1970
"Belgium","El Salvador",3,NA,NA,0,NA,NA,"Raymond Goethals","Paul Van Himst","Hernan Carrasco","Salvador Mariona","Wilfried Van Moer · 12|Wilfried Van Moer · 54|Raoul Lambert (P) · 79",NA,92205,"Estadio Azteca, Mexico City","Andrei Radulescu (Referee) · Rudolf Gloeckner (AR1) · Kurt Tschenscher (AR2)",1970-06-03,"3–0","Andrei Radulescu",NA,"Group stage","Mexico",1970
"Brazil","Czechoslovakia",4,NA,NA,1,NA,NA,"Mario Zagallo","Carlos Alberto Torres","Jozef Marko","Alexander Horváth","Rivellino · 24|Pelé · 59|Jairzinho · 61|Jairzinho · 83","Ladislav Petráš · 11",52897,"Jalisco, Guadalajara","Ramon Barreto Ruiz (Referee) · Abraham Klein (AR1) · Arturo Yamasaki Maldonado (AR2)",1970-06-03,"4–1","Ramon Barreto Ruiz",NA,"Group stage","Mexico",1970
"Italy","Sweden",1,NA,NA,0,NA,NA,"Ferruccio Valcareggi","Giacinto Facchetti","Orvar Bergmark","Björn Nordqvist","Angelo Domenghini · 10",NA,13433,"Luis Dosal, Toluca","John Taylor (Referee) · Ruedi Scheurer (AR1) · Aly Hussein Kandil (AR2)",1970-06-03,"1–0","John Taylor",NA,"Group stage","Mexico",1970
"West Germany","Morocco",2,NA,NA,1,NA,NA,"Helmut Schoen","Uwe Seeler","Blagoje Vidinic","Driss Bamous","Uwe Seeler · 56|Gerd Müller · 80","Houmane Jarir · 21",12942,"Nou Camp - Estadio Leï¿½n, Leon","Laurens Van Ravens (Referee) · Jose Maria Ortiz De Mendibil (AR1) · Guillermo Velasquez (AR2)",1970-06-03,"2–1","Laurens Van Ravens",NA,"Group stage","Mexico",1970
"England","Romania",1,NA,NA,0,NA,NA,"Alf Ramsey","Bobby Moore","Angelo Niculescu","Mircea Lucescu","Geoff Hurst · 65",NA,50560,"Jalisco, Guadalajara","Vital Loraux (Referee) · Roger Machin (AR1) · Diego De Leo (AR2)",1970-06-02,"1–0","Vital Loraux",NA,"Group stage","Mexico",1970
"Peru","Bulgaria",3,NA,NA,2,NA,NA,"Didi","Héctor Chumpitaz","Stefan Bozhkov","Ivan Dimitrov","Alberto Gallardo · 50|Héctor Chumpitaz · 55|Teófilo Cubillas · 73","Dinko Dermendzhiev · 13|Hristo Bonev · 49",13765,"Nou Camp - Estadio Leï¿½n, Leon","Antonio Sbardella (Referee) · Abel Aguilar Elizalde (AR1) · Yoshiyuki Maruyama (AR2)",1970-06-02,"3–2","Antonio Sbardella",NA,"Group stage","Mexico",1970
"Uruguay","Israel",2,NA,NA,0,NA,NA,"Juan Hohberg","Pedro Rocha","Emmanuel Sheffer","Mordechai Spiegler","Ildo Maneiro · 23|Juan Mujica · 50",NA,20654,"Cuauhtemoc, Puebla","Bob Davidson (Referee) · Ruedi Scheurer (AR1) · Seyoum Tarekegn (AR2)",1970-06-02,"2–0","Bob Davidson",NA,"Group stage","Mexico",1970
"Mexico","Soviet Union",0,NA,NA,0,NA,NA,"Raul Cardenas","Gustavo Peña","Gavril Kachalin","Albert Shesternyov",NA,NA,107160,"Estadio Azteca, Mexico City","Kurt Tschenscher (Referee) · Keith Dunstan (AR1) · John Taylor (AR2)",1970-05-31,"0–0","Kurt Tschenscher",NA,"Group stage","Mexico",1970
